aardvark,noun,"a nocturnal badger-sized burrowing mammal of Africa, with long ears, a tubular snout, and a long extensible tongue, feeding on ants and termites."
aardvarks,noun,"a nocturnal badger-sized burrowing mammal of Africa, with long ears, a tubular snout, and a long extensible tongue, feeding on ants and termites."
aardwolf,noun,a black-striped nocturnal African mammal that feeds mainly on termites.
aaronic,adjective,relating to the biblical priest Aaron.
ab,noun,an abdominal muscle.
abacus,noun,"a simple device for calculating, consisting of a frame with rows of wires or grooves along which beads are slid."
abacuses,noun,"a simple device for calculating, consisting of a frame with rows of wires or grooves along which beads are slid."
abaft,adverb,in or behind the stern of a ship.
abalone,noun,"an edible mollusc of warm seas, with a shallow ear-shaped shell lined with mother-of-pearl and pierced with a line of respiratory holes."
abalones,noun,"an edible mollusc of warm seas, with a shallow ear-shaped shell lined with mother-of-pearl and pierced with a line of respiratory holes."
abandon,noun,complete lack of inhibition or restraint.
abandoned,verb,cease to support or look after (someone); desert.
abandoned,verb,allow oneself to indulge in (a desire or impulse).
abandoned,verb,give up completely (a practice or a course of action).
abandoning,verb,cease to support or look after (someone); desert.
abandoning,verb,give up completely (a practice or a course of action).
abandoning,verb,allow oneself to indulge in (a desire or impulse).
abandonment,noun,the action or fact of abandoning or being abandoned.
abandonments,noun,the action or fact of abandoning or being abandoned.
abandons,verb,cease to support or look after (someone); desert.
abandons,verb,give up completely (a practice or a course of action).
abandons,verb,allow oneself to indulge in (a desire or impulse).
abase,verb,behave in a way that belittles or degrades (someone).
abased,verb,behave in a way that belittles or degrades (someone).
abasement,noun,the action or fact of abasing or being abased; humiliation or degradation.
abases,verb,behave in a way that belittles or degrades (someone).
abash,verb,"make (someone) feel embarrassed, disconcerted, or ashamed."
abashed,verb,"make (someone) feel embarrassed, disconcerted, or ashamed."
abashes,verb,"make (someone) feel embarrassed, disconcerted, or ashamed."
abashing,verb,"make (someone) feel embarrassed, disconcerted, or ashamed."
abasing,verb,behave in a way that belittles or degrades (someone).
abate,verb,(of something unpleasant or severe) become less intense or widespread.
abated,verb,(of something unpleasant or severe) become less intense or widespread.
abatement,noun,the action of abating or being abated; ending or subsiding.
abates,verb,(of something unpleasant or severe) become less intense or widespread.
abating,verb,(of something unpleasant or severe) become less intense or widespread.
abatis,noun,a defence made of felled trees placed lengthwise over each other with the boughs pointing outwards.
abatises,noun,a defence made of felled trees placed lengthwise over each other with the boughs pointing outwards.
abattoir,noun,a slaughterhouse.
abattoirs,noun,a slaughterhouse.
abbacy,noun,the office or period of office of an abbot or abbess.
abbacies,noun,the office or period of office of an abbot or abbess.
abbatial,adjective,"relating to an abbey, abbot, or abbess."
abbe,noun,(in France) an abbot or other cleric.
abbey,noun,the building or buildings occupied by a community of monks or nuns.
abbeys,noun,the building or buildings occupied by a community of monks or nuns.
abbes,noun,(in France) an abbot or other cleric.
abbess,noun,a woman who is the head of an abbey of nuns.
abbesses,noun,a woman who is the head of an abbey of nuns.
abbot,noun,a man who is the head of an abbey of monks.
abbots,noun,a man who is the head of an abbey of monks.
abbreviate,verb,"shorten (a word, phrase, or text)."
abbreviated,adjective,shortened; cut short.
abbreviates,verb,"shorten (a word, phrase, or text)."
abbreviating,verb,"shorten (a word, phrase, or text)."
abbreviation,noun,a shortened form of a word or phrase.
abbreviations,noun,a shortened form of a word or phrase.
abc,noun,the alphabet.
abc,noun,the alphabet.
abc,noun,an alphabetical guide.
abdicate,verb,(of a monarch) renounce one's throne.
abdicate,verb,fail to fulfil or undertake (a responsibility or duty).
abdicated,verb,(of a monarch) renounce one's throne.
abdicated,verb,fail to fulfil or undertake (a responsibility or duty).
abdicates,verb,(of a monarch) renounce one's throne.
abdicates,verb,fail to fulfil or undertake (a responsibility or duty).
abdicating,verb,(of a monarch) renounce one's throne.
abdicating,verb,fail to fulfil or undertake (a responsibility or duty).
abdication,noun,an act of abdicating or renouncing the throne.
abdication,noun,failure to fulfil a responsibility or duty.
abdications,noun,an act of abdicating or renouncing the throne.
abdications,noun,failure to fulfil a responsibility or duty.
abdomen,noun,the part of the body of a vertebrate containing the digestive and reproductive organs; the belly.
abdomens,noun,the part of the body of a vertebrate containing the digestive and reproductive organs; the belly.
abdominal,adjective,relating to the abdomen.
abdominous,adjective,(of a person) having a large belly; fat.
abduct,verb,take (someone) away illegally by force or deception; kidnap.
abducted,verb,take (someone) away illegally by force or deception; kidnap.
abducting,verb,take (someone) away illegally by force or deception; kidnap.
abduction,noun,the action of forcibly taking someone away against their will.
abductions,noun,the action of forcibly taking someone away against their will.
abductor,noun,a person who abducts another person.
abductors,noun,a person who abducts another person.
abducts,verb,take (someone) away illegally by force or deception; kidnap.
abeam,adverb,on a line at right angles to a ship's or an aircraft's length.
abecedarian,adjective,arranged alphabetically.
abed,adverb,in bed.
abeyance,noun,a state of temporary disuse or suspension.
aberrant,adjective,departing from an accepted standard.
aberration,noun,"a departure from what is normal, usual, or expected, typically an unwelcome one."
aberrations,noun,"a departure from what is normal, usual, or expected, typically an unwelcome one."
abet,verb,"encourage or assist (someone) to do something wrong, in particular to commit a crime."
abets,verb,"encourage or assist (someone) to do something wrong, in particular to commit a crime."
abetted,verb,"encourage or assist (someone) to do something wrong, in particular to commit a crime."
abetting,verb,"encourage or assist (someone) to do something wrong, in particular to commit a crime."
abhor,verb,regard with disgust and hatred.
abhorred,verb,regard with disgust and hatred.
abhorrence,noun,a feeling of revulsion; disgusted loathing.
abhorrent,adjective,inspiring disgust and loathing; repugnant.
abhorring,verb,regard with disgust and hatred.
abhors,verb,regard with disgust and hatred.
abide,verb,"accept or act in accordance with (a rule, decision, or recommendation)."
abide,verb,(of a feeling or memory) continue without fading or being lost.
abided,verb,"accept or act in accordance with (a rule, decision, or recommendation)."
abided,verb,(of a feeling or memory) continue without fading or being lost.
abides,verb,"accept or act in accordance with (a rule, decision, or recommendation)."
abides,verb,(of a feeling or memory) continue without fading or being lost.
abiding,adjective,(of a feeling or memory) lasting a long time; enduring.
abigail,noun,a lady's maid.
ability,noun,possession of the means or skill to do something.
ability,noun,"talent, skill, or proficiency in a particular area."
abilities,noun,possession of the means or skill to do something.
abilities,noun,"talent, skill, or proficiency in a particular area."
abiotic,adjective,physical rather than biological; not derived from living organisms.
abysm,noun,an abyss.
abyss,noun,a deep or seemingly bottomless chasm.
abyssal,adjective,"relating to or denoting the depths or bed of the ocean, especially between about 3000 and 6000 metres down."
abysses,noun,a deep or seemingly bottomless chasm.
abyssinian,noun,a cat of a breed having long ears and short brown hair flecked with grey.
abyssinians,noun,a cat of a breed having long ears and short brown hair flecked with grey.
abject,adjective,(of something bad) experienced or present to the maximum degree.
abject,adjective,(of a person or their behaviour) completely without pride or dignity; self-abasing.
abjure,verb,"solemnly renounce (a belief, cause, or claim)."
abjured,verb,"solemnly renounce (a belief, cause, or claim)."
abjures,verb,"solemnly renounce (a belief, cause, or claim)."
abjuring,verb,"solemnly renounce (a belief, cause, or claim)."
ablation,noun,the surgical removal of body tissue.
ablation,noun,the removal of snow and ice from a glacier or iceberg by melting or evaporation.
ablatival,adjective,(of surgical treatment) involving ablation.
ablatival,adjective,relating to or subject to ablation through melting or evaporation.
ablative,adjective,(of surgical treatment) involving ablation.
ablative,adjective,relating to or subject to ablation through melting or evaporation.
ablatively,adjective,(of surgical treatment) involving ablation.
ablatively,adjective,relating to or subject to ablation through melting or evaporation.
ablatives,noun,a word in the ablative case.
ablaze,adjective,burning fiercely.
able,adjective,"having the power, skill, means, or opportunity to do something."
able,adjective,"having considerable skill, proficiency, or intelligence."
abler,adjective,"having the power, skill, means, or opportunity to do something."
abler,adjective,"having considerable skill, proficiency, or intelligence."
ablest,adjective,"having the power, skill, means, or opportunity to do something."
ablest,adjective,"having considerable skill, proficiency, or intelligence."
ably,suffix,forming adverbs corresponding to adjectives ending in -able (such as suitably corresponding to suitable ).
abloom,adjective,covered in flowers.
ablush,adjective,blushing.
ablution,noun,an act of washing oneself.
ablutions,noun,an act of washing oneself.
abnegate,verb,renounce or reject (something desired or valuable).
abnegated,verb,renounce or reject (something desired or valuable).
abnegates,verb,renounce or reject (something desired or valuable).
abnegating,verb,renounce or reject (something desired or valuable).
abnegation,noun,the action of renouncing or rejecting something.
abnegations,noun,the action of renouncing or rejecting something.
abnormal,adjective,"deviating from what is normal or usual, typically in a way that is undesirable or worrying."
abnormality,noun,"an abnormal feature, characteristic, or occurrence."
abnormalities,noun,"an abnormal feature, characteristic, or occurrence."
abnormity,noun,"an abnormal feature, characteristic, or occurrence."
abo,noun,"a system of four basic types (A, AB, B, and O) into which human blood may be classified, based on the presence or absence of certain inherited antigens."
aboard,adverb & preposition,"on or into (a ship, aircraft, train, or other vehicle)."
abodes,noun,a place of residence; a house or home.
aboil,noun,"an inflamed pus-filled swelling on the skin, caused typically by the infection of a hair follicle."
abolish,verb,"formally put an end to (a system, practice, or institution)."
abolished,verb,"formally put an end to (a system, practice, or institution)."
abolishes,verb,"formally put an end to (a system, practice, or institution)."
abolishing,verb,"formally put an end to (a system, practice, or institution)."
abolition,noun,"the action of abolishing a system, practice, or institution."
abolitionist,noun,"a person who favours the abolition of a practice or institution, especially capital punishment or (formerly) slavery."
abolitionists,noun,"a person who favours the abolition of a practice or institution, especially capital punishment or (formerly) slavery."
abominable,adjective,causing moral revulsion.
abominably,adverb,very unpleasantly or unfairly.
abominate,verb,detest; loathe.
abominated,verb,detest; loathe.
abominates,verb,detest; loathe.
abominating,verb,detest; loathe.
abomination,noun,a thing that causes disgust or loathing.
abominations,noun,a thing that causes disgust or loathing.
aboral,adjective,"relating to or denoting the side or end that is furthest from the mouth, especially in animals that lack clear upper and lower sides such as echinoderms."
aboriginal,noun,any of the numerous Australian Aboriginal languages.
aboriginal,noun,an aboriginal inhabitant of a place.
aboriginally,noun,any of the numerous Australian Aboriginal languages.
aboriginally,noun,an aboriginal inhabitant of a place.
aborigine,noun,"a person, animal, or plant that has been in a country or region from earliest times."
aborigines,noun,"a person, animal, or plant that has been in a country or region from earliest times."
aborning,adverb,while being born or produced.
abort,noun,"an act of aborting a flight, space mission, or other enterprise."
aborted,verb,carry out or undergo the abortion of (a fetus).
aborted,verb,bring to a premature end because of a problem or fault.
abortifacient,noun,an abortifacient drug.
aborting,verb,carry out or undergo the abortion of (a fetus).
aborting,verb,bring to a premature end because of a problem or fault.
abortion,noun,an object or undertaking that is unpleasant or badly made or carried out.
abortion,noun,"the deliberate termination of a human pregnancy, most often performed during the first 28 weeks."
abortional,noun,an object or undertaking that is unpleasant or badly made or carried out.
abortional,noun,"the deliberate termination of a human pregnancy, most often performed during the first 28 weeks."
abortionist,noun,a person who carries out abortions.
abortionists,noun,a person who carries out abortions.
abortions,noun,an object or undertaking that is unpleasant or badly made or carried out.
abortions,noun,"the deliberate termination of a human pregnancy, most often performed during the first 28 weeks."
abortive,adjective,failing to produce the intended result.
aborts,noun,"an act of aborting a flight, space mission, or other enterprise."
abound,verb,exist in large numbers or amounts.
abounded,verb,exist in large numbers or amounts.
abounding,verb,exist in large numbers or amounts.
abounds,verb,exist in large numbers or amounts.
about,adverb,(used with a number or quantity) approximately.
above,adverb,at a higher level or layer.
aboveboard,adjective & adverb,"legitimate, honest, and open."
abracadabra,noun,language used to give the impression of arcane knowledge or power.
abrade,verb,scrape or wear away by friction or erosion.
abraded,verb,scrape or wear away by friction or erosion.
abrades,verb,scrape or wear away by friction or erosion.
abrading,verb,scrape or wear away by friction or erosion.
abrasion,noun,the process of scraping or wearing something away.
abrasions,noun,the process of scraping or wearing something away.
abrasive,noun,"a substance used for grinding, polishing, or cleaning a hard surface."
abrasives,noun,"a substance used for grinding, polishing, or cleaning a hard surface."
abreact,verb,release (an emotion) by abreaction.
abreacted,verb,release (an emotion) by abreaction.
abreacting,verb,release (an emotion) by abreaction.
abreaction,noun,"the expression and consequent release of a previously repressed emotion, achieved through reliving the experience that caused it (typically through hypnosis or suggestion)."
abreacts,verb,release (an emotion) by abreaction.
abreast,adverb,side by side and facing the same way.
abreast,adverb,alongside or level with something.
abridge,verb,"shorten (a book, film, speech, etc.) without losing the sense."
abridged,verb,"shorten (a book, film, speech, etc.) without losing the sense."
abridgement,noun,the action of abridging a text.
abridgements,noun,the action of abridging a text.
abridger,verb,"shorten (a book, film, speech, etc.) without losing the sense."
abridges,verb,"shorten (a book, film, speech, etc.) without losing the sense."
abridging,verb,"shorten (a book, film, speech, etc.) without losing the sense."
abridgment,noun,the action of abridging a text.
abridgments,noun,the action of abridging a text.
abroad,adverb,in or to a foreign country or countries.
abroad,adverb,in different directions; over a wide area.
abroad,noun,foreign countries considered collectively.
abrogate,verb,"repeal or do away with (a law, right, or formal agreement)."
abrogated,verb,"repeal or do away with (a law, right, or formal agreement)."
abrogates,verb,"repeal or do away with (a law, right, or formal agreement)."
abrogating,verb,"repeal or do away with (a law, right, or formal agreement)."
abrogation,noun,"the repeal or abolition of a law, right, or agreement."
abrogations,noun,"the repeal or abolition of a law, right, or agreement."
abrogators,noun,"the repeal or abolition of a law, right, or agreement."
abrupt,adjective,sudden and unexpected.
abrupt,adjective,brief to the point of rudeness; curt.
abrupt,adjective,steep; precipitous.
abs,abbreviation,able seaman.
abs,abbreviation,Alberta (in official postal use).
abscess,noun,"a swollen area within body tissue, containing an accumulation of pus."
abscesses,noun,"a swollen area within body tissue, containing an accumulation of pus."
abscissa,noun,"(in a system of coordinates) the distance from a point to the vertical or y -axis, measured parallel to the horizontal or x -axis; the x -coordinate."
abscissae,noun,"(in a system of coordinates) the distance from a point to the vertical or y -axis, measured parallel to the horizontal or x -axis; the x -coordinate."
abscissas,noun,"(in a system of coordinates) the distance from a point to the vertical or y -axis, measured parallel to the horizontal or x -axis; the x -coordinate."
abscission,noun,"the natural detachment of parts of a plant, typically dead leaves and ripe fruit."
abscissions,noun,"the natural detachment of parts of a plant, typically dead leaves and ripe fruit."
abscond,verb,"leave hurriedly and secretly, typically to escape from custody or avoid arrest."
absconded,verb,"leave hurriedly and secretly, typically to escape from custody or avoid arrest."
absconding,verb,"leave hurriedly and secretly, typically to escape from custody or avoid arrest."
absconds,verb,"leave hurriedly and secretly, typically to escape from custody or avoid arrest."
absence,noun,the state of being away from a place or person.
absences,noun,the state of being away from a place or person.
absent,preposition,without.
absented,verb,stay or go away.
absentee,noun,a person who is expected or required to be present at a place or event but is not.
absenteeism,noun,the practice of regularly staying away from work or school without good reason.
absentees,noun,a person who is expected or required to be present at a place or event but is not.
absenting,verb,stay or go away.
absently,adverb,in an absent-minded way; vaguely.
absentminded,adjective,having or showing a forgetful or inattentive disposition.
absents,verb,stay or go away.
absinth,noun,"a potent green aniseed-flavoured liqueur, originally made with the shrub wormwood."
absinthe,noun,"a potent green aniseed-flavoured liqueur, originally made with the shrub wormwood."
absinthes,noun,"a potent green aniseed-flavoured liqueur, originally made with the shrub wormwood."
absinths,noun,"a potent green aniseed-flavoured liqueur, originally made with the shrub wormwood."
absolute,noun,a value or principle which is regarded as universally valid or which may be viewed without relation to other things.
absolutely,adverb,"with no qualification, restriction, or limitation; totally."
absolutely,adverb,not viewed in relation to other things.
